2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.1598]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0133166667]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [6558.37]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-02-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [6558.37]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [81.51]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [704.11]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [622.60]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [704.11]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [4], residualAmount: [6558.37], interestAmount: [81.51], capitalAmount: [622.60], installmentAmount: [704.11], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.0599]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [5]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [5935.77]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-03-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [5935.77]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [107.24]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [616.75]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [5], residualAmount: [5935.77], interestAmount: [107.24], capitalAmount: [616.75], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [6]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [5319.02]
